Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
大圍第八街,Eighth Street Tai Wai,沙田區,Sha Tin,None
茵娜大道,Enna Boulevard,元朗區,Yuen Long,None
緊急救援西路,Ers West Road,元朗區,Yuen Long,None
依榮徑,Ewin Way,灣仔區,Wan Chai,None
錦繡花園河北第十街,Fairview Park 10th Street River North,元朗區,Yuen Long,None
錦繡花園河北第十一街,Fairview Park 11th Street River North,元朗區,Yuen Long,None
錦繡花園河北第十二街,Fairview Park 12th Street River North,元朗區,Yuen Long,None
錦繡花園河北第一街,Fairview Park 1st Street River North,元朗區,Yuen Long,None
錦繡花園河北第二街,Fairview Park 2nd Street River North,元朗區,Yuen Long,None
錦繡花園河北第三街,Fairview Park 3rd Street River North,元朗區,Yuen Long,None
錦繡花園河北第四街,Fairview Park 4th Street River North,元朗區,Yuen Long,None
錦繡花園河北第五街,Fairview Park 5th Street River North,元朗區,Yuen Long,None
錦繡花園河北第六街,Fairview Park 6th Street River North,元朗區,Yuen Long,None
錦繡花園河北第七街,Fairview Park 7th Street River North,元朗區,Yuen Long,None
錦繡花園河北第八街,Fairview Park 8th Street River North,元朗區,Yuen Long,None
錦繡花園河北第九街,Fairview Park 9th Street River North,元朗區,Yuen Long,None
錦繡花園Ｂ段第一街,"Fairview Park Section B, 1st Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第二街,"Fairview Park Section B, 2nd Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第三街,"Fairview Park Section B, 3rd Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第四街,"Fairview Park Section B, 4th Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第五街,"Fairview Park Section B, 5th Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第六街,"Fairview Park Section B, 6th Street",元朗區,Yuen Long,None
錦繡花園Ｂ段第七街,"Fairview Park Section B, 7th Street",元朗區,Yuen Long,None
錦繡花園C段第一街,"Fairview Park Section C, 1st Street",元朗區,Yuen Long,None
錦繡花園C段第二街,"Fairview Park Section C, 2nd Street",元朗區,Yuen Long,None
錦繡花園C段第三街,"Fairview Park Section C, 3rd Street",元朗區,Yuen Long,None
錦繡花園C段第四街,"Fairview Park Section C, 4th Street",元朗區,Yuen Long,None
錦繡花園C段第五街,"Fairview Park Section C, 5th Street",元朗區,Yuen Long,None
錦繡花園C段第六街,"Fairview Park Section C, 6th Street",元朗區,Yuen Long,None
錦繡花園C段第七街,"Fairview Park Section C, 7th Street",元朗區,Yuen Long,None
錦繡花園Ｃ段第八街,"Fairview Park Section C, 8th Street",元朗區,Yuen Long,None
錦繡花園Ｃ段第九街,"Fairview Park Section C, 9th Street",元朗區,Yuen Long,None
錦繡花園D段第一街,"Fairview Park Section D, 1st Street",元朗區,Yuen Long,None
錦繡花園D段第二街,"Fairview Park Section D, 2nd Street",元朗區,Yuen Long,None
錦繡花園D段第三街,"Fairview Park Section D, 3rd Street",元朗區,Yuen Long,None
錦繡花園D段第四街,"Fairview Park Section D, 4th Street",元朗區,Yuen Long,None
錦繡花園Ｅ段第一街,"Fairview Park Section E, 1st Street",元朗區,Yuen Long,None
錦繡花園Ｅ段第二街,"Fairview Park Section E, 2nd Street",元朗區,Yuen Long,None
錦繡花園Ｅ段第三街,"Fairview Park Section E, 3rd Street",元朗區,Yuen Long,None
錦繡花園Ｅ段第四街,"Fairview Park Section E, 4th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第十街,"Fairview Park Section F, 10th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第一街,"Fairview Park Section F, 1st Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第二街,"Fairview Park Section F, 2nd Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第三街,"Fairview Park Section F, 3rd Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第四街,"Fairview Park Section F, 4th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第五街,"Fairview Park Section F, 5th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第六街,"Fairview Park Section F, 6th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第七街,"Fairview Park Section F, 7th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第八街,"Fairview Park Section F, 8th Street",元朗區,Yuen Long,None
錦繡花園Ｆ段第九街,"Fairview Park Section F, 9th Street",元朗區,Yuen Long,None
錦繡花園G段第一街,"Fairview Park Section G, 1st Street",元朗區,Yuen Long,None
錦繡花園G段第二街,"Fairview Park Section G, 2nd Street",元朗區,Yuen Long,None
錦繡花園H段第一街,"Fairview Park Section H, 1st Street",元朗區,Yuen Long,None
錦繡花園H段第二街,"Fairview Park Section H, 2nd Street",元朗區,Yuen Long,None
錦繡花園H段第三街,"Fairview Park Section H, 3rd Street",元朗區,Yuen Long,None
錦繡花園I段第一街,"Fairview Park Section I, 1st Street",元朗區,Yuen Long,None
錦繡花園I段第二街,"Fairview Park Section I, 2nd Street",元朗區,Yuen Long,None
錦繡花園I段第三街,"Fairview Park Section I, 3rd Street",元朗區,Yuen Long,None
錦繡花園I段第四街,"Fairview Park Section I, 4th Street",元朗區,Yuen Long,None
錦繡花園I段第五街,"Fairview Park Section I, 5th Street",元朗區,Yuen Long,None
錦繡花園J段第一街,"Fairview Park Section J, 1st Street",元朗區,Yuen Long,None
錦繡花園J段第二街,"Fairview Park Section J, 2nd Street",元朗區,Yuen Long,None
錦繡花園J段第三街,"Fairview Park Section J, 3rd Street",元朗區,Yuen Long,None
錦繡花園J段第四街,"Fairview Park Section J, 4th Street",元朗區,Yuen Long,None
錦繡花園J段第五街,"Fairview Park Section J, 5th Street",元朗區,Yuen Long,None
錦繡花園K段第一街,"Fairview Park Section K, 1st Street",元朗區,Yuen Long,None
錦繡花園K段第二街,"Fairview Park Section K, 2nd Street",元朗區,Yuen Long,None
錦繡花園K段第三街,"Fairview Park Section K, 3rd Street",元朗區,Yuen Long,None
錦繡花園K段第四街,"Fairview Park Section K, 4th Street",元朗區,Yuen Long,None
錦繡花園K段第五街,"Fairview Park Section K, 5th Street",元朗區,Yuen Long,None
錦繡花園L段第一街,"Fairview Park Section L, 1st Street",元朗區,Yuen Long,None
錦繡花園L段第二街,"Fairview Park Section L, 2nd Street",元朗區,Yuen Long,None
錦繡花園L段第三街,"Fairview Park Section L, 3rd Street",元朗區,Yuen Long,None
錦繡花園L段第四街,"Fairview Park Section L, 4th Street",元朗區,Yuen Long,None
錦繡花園L段第五街,"Fairview Park Section L, 5th Street",元朗區,Yuen Long,None
錦繡花園M段第一街,"Fairview Park Section M, 1st Street",元朗區,Yuen Long,None
錦繡花園M段第二街,"Fairview Park Section M, 2nd Street",元朗區,Yuen Long,None
錦繡花園M段第三街,"Fairview Park Section M, 3rd Street",元朗區,Yuen Long,None
錦繡花園M段第四街,"Fairview Park Section M, 4th Street",元朗區,Yuen Long,None
錦繡花園M段第五街,"Fairview Park Section M, 5th Street",元朗區,Yuen Long,None
錦繡花園M段第六街,"Fairview Park Section M, 6th Street",元朗區,Yuen Long,None
菲利提諾大道,Ferentino Boulevard,元朗區,Yuen Long,None
脫硫路,Fgd Road,屯門區,Tuen Mun,None
大圍第五街,Fifth Street Tai Wai,沙田區,Sha Tin,None
佛洛斯大道,Firenze Viale,元朗區,Yuen Long,None
大圍第一街,First Street Tai Wai,沙田區,Sha Tin,None
大圍第四街,Fourth Street Tai Wai,沙田區,Sha Tin,None
符理善徑,Fraser Rise,灣仔區,Wan Chai,None
富福路,Fu Fuk Road,屯門區,Tuen Mun,None
福亭街,Fuk Ting Street,元朗區,Yuen Long,None
豐裕路,Fung Yu Road,元朗區,Yuen Long,None
加倫大道,Gallen Boulevard,北區,North,None
日內瓦大道東,Geneva East Avenue,北區,North,None
日內瓦大道南,Geneva South Avenue,元朗區,Yuen Long,None
珍諾華大道,Genova Boulevard,元朗區,Yuen Long,None
銀杏徑,Ginkgo Drive,北區,North,None
下北村第一巷,Ha Pak Tsuen Lane No.1,北區,North,None
下北村第二巷,Ha Pak Tsuen Lane No.2,北區,North,None
下北村第三巷,Ha Pak Tsuen Lane No.3,北區,North,None
下北村第四巷,Ha Pak Tsuen Lane No.4,北區,North,None
下北村第五巷,Ha Pak Tsuen Lane No.5,北區,North,None
坑坪街,Hang Ping Street,葵青區,Kwai Tsing,None
比昂大道,Haut-brion Avenue,元朗區,Yuen Long,None
茵羅洛斯大道,Helorus Boulevard,元朗區,Yuen Long,None
侯介賢街,Hill Street,灣仔區,Wan Chai,None
翠巒大道,Hillside Avenue,元朗區,Yuen Long,None
興仁村第一巷,Hing Yan Tsuen Lane No.1,北區,North,None
興仁村第二巷,Hing Yan Tsuen Lane No.2,北區,North,None
興仁村第三巷,Hing Yan Tsuen Lane No.3,北區,North,None
興仁村第四巷,Hing Yan Tsuen Lane No.4,北區,North,None
興仁村第五巷,Hing Yan Tsuen Lane No.5,北區,North,None
蠔涌村八巷,Ho Chung Eighth Lane,西貢區,Sai Kung,None
蠔涌村五巷,Ho Chung Fifth Lane,西貢區,Sai Kung,None
蠔涌村一巷,Ho Chung First Lane,西貢區,Sai Kung,None
蠔涌村四巷,Ho Chung Fourth Lane,西貢區,Sai Kung,None
蠔涌村九巷,Ho Chung Ninth Lane,西貢區,Sai Kung,None
蠔涌村二巷,Ho Chung Second Lane,西貢區,Sai Kung,None
蠔涌村七巷,Ho Chung Seventh Lane,西貢區,Sai Kung,None
蠔涌村六巷,Ho Chung Sixth Lane,西貢區,Sai Kung,None
蠔涌村三巷,Ho Chung Third Lane,西貢區,Sai Kung,None
好景台,Ho King Toi,離島區,Islands,None
賀良里,Holland Close,灣仔區,Wan Chai,None
冬青徑,Holly Drive,北區,North,None
港珠澳大橋香港連接路,Hong Kong-zhuhai-macao Bridge Hong Kong Link Roa,離島區,Islands,None
入水口路,Intake Road,離島區,Islands,None
因特拉肯大道,Interlaken Avenue,北區,North,None
碼頭道,Jetty Approach Road,離島區,Islands,None
隔田村第二街,Kak Tin Village 2nd Street,沙田區,Sha Tin,None
隔田村第三街,Kak Tin Village 3rd Street,沙田區,Sha Tin,None
隔田村第四街,Kak Tin Village 4th Street,沙田區,Sha Tin,None
隔田村第五街,Kak Tin Village 5th Street,沙田區,Sha Tin,None
隔田村第六街,Kak Tin Village 6th Street,沙田區,Sha Tin,None
隔田村高街,Kak Tin Village High Street,沙田區,Sha Tin,None
隔田村正街,Kak Tin Village Main Street,沙田區,Sha Tin,None
隔田村南軒路,Kak Tin Village Nam Hin Road,沙田區,Sha Tin,None
隔田村松林徑,Kak Tin Village Pine Path,沙田區,Sha Tin,None
錦江路,Kam Kong Road,元朗區,Yuen Long,None
金錢第十巷,Kam Tsin 10th Lane,北區,North,None
金錢第十一巷,Kam Tsin 11th Lane,北區,North,None
金錢第十二巷,Kam Tsin 12th Lane,北區,North,None
金錢第十三巷,Kam Tsin 13th Lane,北區,North,None
金錢第十四巷,Kam Tsin 14th Lane,北區,North,None
金錢第一巷,Kam Tsin 1st Lane,北區,North,None
金錢第二巷,Kam Tsin 2nd Lane,北區,North,None
金錢第三巷,Kam Tsin 3rd Lane,北區,North,None
金錢第四巷,Kam Tsin 4th Lane,北區,North,None
金錢第五巷,Kam Tsin 5th Lane,北區,North,None
金錢第六巷,Kam Tsin 6th Lane,北區,North,None
金錢第七巷,Kam Tsin 7th Lane,北區,North,None
金錢第八巷,Kam Tsin 8th Lane,北區,North,None
金錢第九巷,Kam Tsin 9th Lane,北區,North,None
汲水門大橋,Kap Shui Mun Bridge,荃灣區,Tsuen Wan,None
逸林路,Kensington Avenue,元朗區,Yuen Long,None
逸林徑,Kensington Drive,元朗區,Yuen Long,None
逸林里,Kensington Lane,元朗區,Yuen Long,None
肯辛頓徑,Kensington Path,北區,North,None
逸林道,Kensington Road,元朗區,Yuen Long,None
逸林坊,Kensington Square,元朗區,Yuen Long,None
高埔徑,Ko Po Path,元朗區,Yuen Long,None
葵涌交匯處,Kwai Chung Interchange,深水埗區-葵青區,Sham Shui Po-Kwai Tsing,None
貴坪街,Kwai Peng Street,離島區,Islands,None
葵青橋,Kwai Tsing Bridge,荃灣區,Tsuen Wan,None
葵青交匯處,Kwai Tsing Interchange,荃灣區,Tsuen Wan,None
廣福橋,Kwong Fuk Bridge,大埔區,Tai Po,None
觀坪路,Kwun Ping Road,沙田區,Sha Tin,None
洛菲大道,Lafite Avenue,元朗區,Yuen Long,None
荔枝角大橋,Lai Chi Kwok Bridge,荃灣區,Tsuen Wan,None
禮樂街,Lai Ngok Street,西貢區,Sai Kung,None
荔盈街,Lai Ying Street,深水埗區,Sham Shui Po,None
林錦公路交匯處,Lam Kam Road Interchange,大埔區,Tai Po,None
藍地交匯處,Lam Tei Interchange,屯門區,Tuen Mun,None
洛圖大道,Latour Avenue,元朗區,Yuen Long,None
洛森大道,Lausanne Avenue,北區,North,None
鯉魚門海傍道中,Lei Yue Mun Hoi Pong Road Central,觀塘區,Kwun Tong,None
鯉魚門海傍道東,Lei Yue Mun Hoi Pong Road East,觀塘區,Kwun Tong,None
圖書館道,Library Boulevard,沙田區,Sha Tin,None
料壆第十巷,Liu Pok 10th Lane,北區,North,None
料壆第十一巷,Liu Pok 11th Lane,北區,North,None
料壆第十二巷,Liu Pok 12th Lane,北區,North,None
料壆第一巷,Liu Pok 1st Lane,北區,North,None
料壆第二巷,Liu Pok 2nd Lane,北區,North,None
料壆第三巷,Liu Pok 3rd Lane,北區,North,None
料壆第四巷,Liu Pok 4th Lane,北區,North,None
料壆第五巷,Liu Pok 5th Lane,北區,North,None
料壆第六巷,Liu Pok 6th Lane,北區,North,None
料壆第七巷,Liu Pok 7th Lane,北區,North,None
料壆第八巷,Liu Pok 8th Lane,北區,North,None
料壆第九巷,Liu Pok 9th Lane,北區,North,None
洛卡諾大道,Locarno Avenue,元朗區,Yuen Long,None
萊洞第五巷,Loi Tung Fifth Lane,北區,North,None
萊洞第一巷,Loi Tung First Lane,北區,North,None
萊洞第四巷,Loi Tung Fourth Lane,北區,North,None
萊洞第二巷,Loi Tung Second Lane,北區,North,None
萊洞第六巷,Loi Tung Sixth Lane,北區,North,None
萊洞第三巷,Loi Tung Third Lane,北區,North,None
落馬洲徑,Lok Ma Chau Path,元朗區,Yuen Long,None
下羅禮信道,Lower Rolison Road,灣仔區,Wan Chai,None
龍駒道,Lung Kui Road,深水埗區,Sham Shui Po,None
龍悅道,Lung Yuet Road,深水埗區,Sham Shui Po,None
琉森大道,Luzern Boulevard,北區,North,None
馬灣後街,Ma Wan Back Street,荃灣區,Tsuen Wan,None
電廠大道,Main Road,離島區,Islands,None
紅楓徑,Maple Drive,北區,North,None
瑪歌大道,Margaux Avenue,元朗區,Yuen Long,None
米萊諾大道,Milano Viale,元朗區,Yuen Long,None
花園徑,Monterey Drive,元朗區,Yuen Long,None
蒙特勒大道,Montreux Avenue,北區,North,None
莫里茲大道,Moritz Avenue,北區,North,None
美冬大道,Mouton Avenue,元朗區,Yuen Long,None
門口村第一巷,Mun Hau Tsuen Lane No.1,北區,North,None
門口村第十巷,Mun Hau Tsuen Lane No.10,北區,North,None
門口村第十一巷,Mun Hau Tsuen Lane No.11,北區,North,None
門口村第十二巷,Mun Hau Tsuen Lane No.12,北區,North,None
門口村第二巷,Mun Hau Tsuen Lane No.2,北區,North,None
門口村第三巷,Mun Hau Tsuen Lane No.3,北區,North,None
門口村第四巷,Mun Hau Tsuen Lane No.4,北區,North,None
門口村第五巷,Mun Hau Tsuen Lane No.5,北區,North,None
門口村第六巷,Mun Hau Tsuen Lane No.6,北區,North,None
門口村第七巷,Mun Hau Tsuen Lane No.7,北區,North,None
門口村第八巷,Mun Hau Tsuen Lane No.8,北區,North,None
門口村第九巷,Mun Hau Tsuen Lane No.9,北區,North,None
南邊圍十里,Nam Pin Wai 10th Lane,元朗區,Yuen Long,None
南邊圍一里,Nam Pin Wai 1st Lane,元朗區,Yuen Long,None
南邊圍二里,Nam Pin Wai 2nd Lane,元朗區,Yuen Long,None
南邊圍三里,Nam Pin Wai 3rd Lane,元朗區,Yuen Long,None
南邊圍四里,Nam Pin Wai 4th Lane,元朗區,Yuen Long,None
南邊圍五里,Nam Pin Wai 5th Lane,元朗區,Yuen Long,None
南邊圍六里,Nam Pin Wai 6th Lane,元朗區,Yuen Long,None
南邊圍七里,Nam Pin Wai 7th Lane,元朗區,Yuen Long,None
南邊圍八里,Nam Pin Wai 8th Lane,元朗區,Yuen Long,None
南邊圍九里,Nam Pin Wai 9th Lane,元朗區,Yuen Long,None
南邊圍東巷,Nam Pin Wai Eastern Lane,元朗區,Yuen Long,None
南邊圍西巷,Nam Pin Wai Western Lane,元朗區,Yuen Long,None
南灣隧道,Nam Wan Tunnel,荃灣區,Tsuen Wan,None
納沙泰爾大道,Neuchatel Avenue,元朗區,Yuen Long,None
新亞坊,New Asia Circle,沙田區,Sha Tin,None
新亞路,New Asia Road,沙田區,Sha Tin,None
大圍第九街,Ninth Street Tai Wai,沙田區,Sha Tin,None
北海傍路,North Seafront Road,離島區,Islands,None
青衣西北交匯處,North West Tsing Yi Interchange,葵青區,Kwai Tsing,None
油缸路,Oil Tank Road,屯門區,Tuen Mun,None
安翠街,On Chui Street,觀塘區,Kwun Tong,None
安茵街,On Yan Street,觀塘區,Kwun Tong,None
出水口路,Outfall Road,離島區,Islands,None
牛津徑,Oxford Lane,北區,North,None
白沙灣街,Pak Sha Wan Street,西貢區,Sai Kung,None
柏寧路,Park Gate,元朗區,Yuen Long,None
柏傑路,Parker Avenue,灣仔區,Wan Chai,None
坪洲好景街,Peng Chau Ho King Street,離島區,Islands,None
坪洲永興街,Peng Chau Wing Hing Street,離島區,Islands,None
坪洲永安橫街,Peng Chau Wing On Side Street,離島區,Islands,None
貝翠大道,Petrus Avenue,元朗區,Yuen Long,None
寶鄉橋,Po Heung Bridge,大埔區,Tai Po,None
坡面徑,Po Min Path,大埔區,Tai Po,None
莆上村第一巷,Po Sheung Tsuen Lane No.1,北區,North,None
莆上村第十巷,Po Sheung Tsuen Lane No.10,北區,North,None
莆上村第十一巷,Po Sheung Tsuen Lane No.11,北區,North,None
莆上村第十二巷,Po Sheung Tsuen Lane No.12,北區,North,None
莆上村第十四巷,Po Sheung Tsuen Lane No.14,北區,North,None
莆上村第十五巷,Po Sheung Tsuen Lane No.15,北區,North,None
莆上村第十六巷,Po Sheung Tsuen Lane No.16,北區,North,None
莆上村第十七巷,Po Sheung Tsuen Lane No.17,北區,North,None
莆上村第十八巷,Po Sheung Tsuen Lane No.18,北區,North,None
莆上村第十九巷,Po Sheung Tsuen Lane No.19,北區,North,None
莆上村第二巷,Po Sheung Tsuen Lane No.2,北區,North,None
莆上村第二十巷,Po Sheung Tsuen Lane No.20,北區,North,None
莆上村第二十一巷,Po Sheung Tsuen Lane No.21,北區,North,None
莆上村第二十二巷,Po Sheung Tsuen Lane No.22,北區,North,None
莆上村第二十四巷,Po Sheung Tsuen Lane No.24,北區,North,None
莆上村第二十五巷,Po Sheung Tsuen Lane No.25,北區,North,None
莆上村第二十六巷,Po Sheung Tsuen Lane No.26,北區,North,None
莆上村第二十七巷,Po Sheung Tsuen Lane No.27,北區,North,None
莆上村第二十八巷,Po Sheung Tsuen Lane No.28,北區,North,None
莆上村第二十九巷,Po Sheung Tsuen Lane No.29,北區,North,None
莆上村第三巷,Po Sheung Tsuen Lane No.3,北區,North,None
莆上村第三十巷,Po Sheung Tsuen Lane No.30,北區,North,None
莆上村第三十一巷,Po Sheung Tsuen Lane No.31,北區,North,None
莆上村第四巷,Po Sheung Tsuen Lane No.4,北區,North,None
莆上村第五巷,Po Sheung Tsuen Lane No.5,北區,North,None
莆上村第六巷,Po Sheung Tsuen Lane No.6,北區,North,None
莆上村第七巷,Po Sheung Tsuen Lane No.7,北區,North,None
莆上村第八巷,Po Sheung Tsuen Lane No.8,北區,North,None
莆上村第九巷,Po Sheung Tsuen Lane No.9,北區,North,None
莆上村新一巷,Po Sheung Tsuen New 1st Lane,北區,North,None
博愛交匯處,Pok Oi Interchange,元朗區,Yuen Long,None
池旁路,Pond Crescent,沙田區,Sha Tin,None
湖邊大道,Poolside Avenue,元朗區,Yuen Long,None
除塵器道,Precipitator Road,離島區,Islands,None
保仕徑,Process Way,灣仔區,Wan Chai,None
進德路,Progress Road,沙田區,Sha Tin,None
光景台,Prospect Place,中西區,Central and Western,None
水塘道,Reservoir Road,離島區,Islands,None
士林一巷,Residence Lane 1,大埔區,Tai Po,None
士林路,Residence Road,沙田區,Sha Tin,None
萊茵河大道,Rhein Avenue,北區,North,None
瑞奇大道,Rigi Avenue,北區,North,None
洛蔓大道,Roma Viale,元朗區,Yuen Long,None
波爾多徑,Rue De Bordeaux,元朗區,Yuen Long,None
康城徑,Rue De Cannes,元朗區,Yuen Long,None
里昂徑,Rue De Lyon,元朗區,Yuen Long,None
馬賽徑,Rue De Marseille,元朗區,Yuen Long,None
尼斯徑,Rue De Nice,元朗區,Yuen Long,None
西溪路,Sai Kai Road,元朗區,Yuen Long,None
散石灣路,San Shek Wan Road,屯門區,Tuen Mun,None
新田交匯處,San Tin Interchange,元朗區,Yuen Long,None
新屋嶺第一巷,San Uk Ling 1st Lane,北區,North,None
新屋嶺第二巷,San Uk Ling 2nd Lane,北區,North,None
新屋嶺第三巷,San Uk Ling 3rd Lane,北區,North,None
新屋嶺第四巷,San Uk Ling 4th Lane,北區,North,None
新屋嶺第五巷,San Uk Ling 5th Lane,北區,North,None
新屋嶺第六巷,San Uk Ling 6th Lane,北區,North,None
新屋嶺第七巷,San Uk Ling 7th Lane,北區,North,None
觀景山隧道,Scenic Hill Tunnel,離島區,Islands,None
海旁路,Sea Bank Road,屯門區,Tuen Mun,None
第二獅子山隧道,Second Lion Rock Tunnel,沙田區,Sha Tin,None
大圍第二街,Second Street Tai Wai,沙田區,Sha Tin,None
大圍第七街,Seventh Street Tai Wai,沙田區,Sha Tin,None
沙下徑,Sha Ha Path,西貢區,Sai Kung,None
沙角尾村八巷,Sha Kok Mei Eighth Lane,西貢區,Sai Kung,None
沙角尾村十一巷,Sha Kok Mei Eleventh Lane,西貢區,Sai Kung,None
沙角尾村五巷,Sha Kok Mei Fifth Lane,西貢區,Sai Kung,None
沙角尾村一巷,Sha Kok Mei First Lane,西貢區,Sai Kung,None
沙角尾村四巷,Sha Kok Mei Fourth Lane,西貢區,Sai Kung,None
沙角尾村九巷,Sha Kok Mei Ninth Lane,西貢區,Sai Kung,None
沙角尾村二巷,Sha Kok Mei Second Lane,西貢區,Sai Kung,None
